Nummer;Datum;Description;Art;Stimmberechtigte;Stimmen;Beteiligung;Leer;Ungueltig;Gueltig;Ja;Nein
559;11.03.2012;Bundesgesetz über die Buchpreisbindung;Fak.;5139057;2308807;44.92666651;96702;11250;2200855;966633;1234222
560;17.06.2012;Volksinitiative «Eigene vier Wände dank Bausparen»;I.;5149475;1987328;38.59282742;44095;8945;1934288;601449;1332839
561;17.06.2012;Volksinitiative «Für die Stärkung der Volksrechte in der Aussenpolitik (Staatsverträge vors Volk!)»;I.;5149475;1987001;38.58647726;35344;8825;1942832;480173;1462659
562;17.06.2012;Änderung des Bundesgesetzes über die Krankenversicherung (Managed Care);Fak.;5149475;1993546;38.7135776;35211;8806;1949529;466862;1482667
563;23.09.2012;Bundesbeschluss über die Jugendmusikförderung;Obl.;5160331;2192799;42.49337882;46630;10893;2135276;1552045;583231
564;23.09.2012;Volksinitiative «Sicheres Wohnen im Alter»;I.;5160331;2198809;42.60984421;48172;11126;2139511;1014016;1125495
565;23.09.2012;Volksinitiative «Schutz vor Passivrauchen»;I.;5160331;2213551;42.89552356;23580;10781;2179190;741205;1437985
566;25.11.2012;Änderung des Tierseuchengesetzes (TSG);Fak.;5166973;1428855;27.65361847;35888;7263;1385704;946220;439484
567;03.03.2013;Bundesbeschluss über die Familienpolitik;Obl.;5174961;2412095;46.61088267;42998;6615;2362482;1283951;1078531
568;03.03.2013;Volksinitiative «gegen die Abzockerei»;I.;5174961;2418825;46.74093196;34173;6493;2378159;1616184;761975
569;03.03.2013;Bundesgesetz über die Raumplanung;Fak.;5174961;2406787;46.50831185;51840;6491;2348456;1476942;871514
570;09.06.2013;Volksinitiative «Volkswahl des Bundesrates»;I.;5184334;2048664;39.51643548;12777;5516;2030371;480291;1550080
571;09.06.2013;Asylgesetz (AsylG) (Dringliche Änderungen des Asylgesetzes);Fak.;5184334;2044092;39.42824671;33033;5878;2005181;1573007;432174
480;02.12.2001;Bundesbeschluss über eine Schuldenbremse;Obl.;4712583;1782381;37.82174234;38522;6510;1737349;1472259;265090
481;02.12.2001;Volksinitiative «für eine gesicherte AHV - Energie statt Arbeit besteuern!»;I.;4712583;1783507;37.84563582;37319;6440;1739748;397747;1342001
482;02.12.2001;Volksinitiative «für eine glaubwürdige Sicherheitspolitik und eine Schweiz ohne Armee»;I.;4712583;1787298;37.92608003;23609;6364;1757325;384905;1372420
483;02.12.2001;Volksinitiative «Solidarität schafft Sicherheit: Für einen freiwilligen zivilen Friedensdienst (ZFD)»;I.;4712583;1783860;37.85312641;33323;6446;1744091;404870;1339221
484;02.12.2001;Volksinitiative «für eine Kapitalgewinnsteuer»;I.;4712583;1783571;37.84699389;33048;6414;1744109;594927;1149182
485;03.03.2002;Volksinitiative «für den Beitritt der Schweiz zur Organisation der Vereinten Nationen (UNO)»;I.;4721422;2758925;58.43419631;20386;11800;2726739;1489110;1237629
486;03.03.2002;Volksinitiative «für eine kürzere Arbeitszeit»;I.;4721422;2750779;58.26166354;30981;11665;2708133;686935;2021198
487;02.06.2002;Schweizerisches Strafgesetzbuch (Schwangerschaftsabbruch, Fristenregelung);Fak.;4730594;1978123;41.81553099;30008;8465;1939650;1399545;540105
488;02.06.2002;Volksinitiative «für Mutter und Kind - für den Schutz des ungeborenen Kindes und für die Hilfe an seine Mutter in Not»;I.;4730594;1972596;41.69869577;32912;8382;1931302;352432;1578870
489;22.09.2002;Volksinitiative «Überschüssige Goldreserven in den AHV-Fonds»;I.;4744197;2143027;45.17154326;10997;9663;2122367;984058;1085072
490;22.09.2002;Elektrizitätsmarktgesetz;Fak.;4744197;2125214;44.79607402;62974;11058;2051182;972770;1078412
491;24.11.2002;Volksinitiative «gegen Asylrechtsmissbrauch»;I.;4749994;2276582;47.92810265;23749;9941;2242892;1119342;1123550
492;24.11.2002;Bundesgesetz über die obligatorische Arbeitslosenversicherung und die Insolvenzentschädigung;Fak.;4749994;2262121;47.62366016;50879;10019;2201223;1234793;966430
493;09.02.2003;Bundesbeschluss über die Änderung der Volksrechte;Obl.;4755703;1365517;28.71325228;31216;6658;1327643;934005;393638
494;09.02.2003;Bundesgesetz über die Anpassung der kantonalen Beiträge an Spitalbehandlungen;Fak.;4755703;1365354;28.70982481;28735;6818;1329801;1028673;301128
495;18.05.2003;Bundesgesetz über die Armee und die Militärverwaltung (Armee XXI);Fak.;4764659;2361382;49.56035679;90232;11121;2260029;1718452;541577
496;18.05.2003;Bundesgesetz über den Bevölkerungsschutz und den Zivilschutz;Fak.;4764659;2358877;49.50778219;77179;10861;2270837;1829339;441498
497;18.05.2003;Volksinitiative «Ja zu fairen Mieten»;I.;4764659;2362517;49.58417801;61997;10731;2289789;749388;1540401
498;18.05.2003;Volksinitiative «für einen autofreien Sonntag pro Jahreszeit - ein Versuch für vier Jahre»;I.;4764659;2373187;49.80811848;20247;10193;2342747;881953;1460794
499;18.05.2003;Volksinitiative «Gesundheit muss bezahlbar bleiben»;I.;4764659;2367157;49.68156168;48813;10577;2307767;625073;1682694
500;18.05.2003;Volksinitiative «Gleiche Rechte für Behinderte»;I.;4764659;2367883;49.69679887;47178;10563;2310142;870249;1439893
501;18.05.2003;Volksinitiative «Strom ohne Atom - Für eine Energiewende und die schrittweise Stilllegung der Atomkraftwerke»;I.;4764659;2369102;49.72238307;34412;10538;2324152;783586;1540566
502;18.05.2003;Volksinitiative «MoratoriumPlus - Für die Verlängerung des Atomkraftwerk-Baustopps und die Begrenzung des Atomrisikos»;I.;4764659;2363075;49.59588923;54914;10864;2297297;955624;1341673
503;18.05.2003;Volksinitiative «für ein ausreichendes Berufsbildungsangebot»;I.;4764659;2361583;49.56457535;63596;10731;2287256;722931;1564325
504;08.02.2004;Gegenentwurf zur Volksinitiative «Avanti – für sichere und leistungsfähige Autobahnen»;Obl.;4788961;2183037;45.58477298;22991;7914;2152132;800632;1351500
505;08.02.2004;Obligationenrecht (Miete). Änderung;Fak.;4788961;2175425;45.4258241;64015;8391;2103019;755561;1347458
506;08.02.2004;Volksinitiative «Lebenslange Verwahrung für nicht therapierbare, extrem gefährliche Sexual- und Gewaltstraftäter»;I.;4788961;2180863;45.53937691;39124;8303;2133436;1198867;934569
507;16.05.2004;Bundesgesetz über die Alters- und Hinterlassenenversicherung (11. AHV-Revision);Fak.;4798197;2438405;50.81919313;20747;10313;2407345;772773;1634572
508;16.05.2004;Bundesbeschluss über die Finanzierung der AHV/IV durch Anhebung der Mehrwertsteuersätze;Obl.;4798197;2439301;50.83786681;21035;10369;2407897;756550;1651347
509;16.05.2004;Bundesgesetz über die Änderung von Erlassen im Bereich der Ehe- und Familienbesteuerung, der Wohneigentumsbesteuerung und der Stempelabgaben;Fak.;4798197;2439677;50.84570308;21902;10390;2407385;821475;1585910
510;26.09.2004;Bundesbeschluss über die ordentliche Einbürgerung sowie über die erleichterte Einbürgerung junger Ausländerinnen und Ausländer der zweiten Generation;Obl.;4814035;2591426;53.83064311;20188;12256;2558982;1106529;1452453
511;26.09.2004;Bundesbeschluss über den Bürgerrechtserwerb von Ausländerinnen und Ausländern der dritten Generation;Obl.;4814035;2591968;53.84190186;18214;12255;2561499;1238912;1322587
512;26.09.2004;Volksinitiative 'Postdienst für alle';I.;4814035;2577679;53.54508224;58197;12597;2506885;1247771;1259114
513;26.09.2004;Bundesgesetz über die Erwerbsersatzordnung für Dienstleistende in Armee, Zivildienst und Zivilschutz (Erwerbsersatzgesetz, EOG);Fak.;4814035;2590724;53.81606075;22600;12385;2555739;1417159;1138580
514;28.11.2004;Bundesbeschluss zur Neugestaltung des Finanzausgleichs und der Aufgabenteilung zwischen Bund und Kantonen (NFA);Obl.;4819855;1776714;36.86239524;52754;8064;1715896;1104565;611331
515;28.11.2004;Bundesbeschluss über eine neue Finanzordnung;Obl.;4819855;1775770;36.84280959;61974;8239;1705557;1258895;446662
516;28.11.2004;Bundesgesetz über die Forschung an embryonalen Stammzellen;Fak.;4819855;1785215;37.03876984;35058;7921;1742236;1156706;585530
517;05.06.2005;Bundesbeschluss über die Genehmigung und die Umsetzung der bilateralen Abkommen zwischen der Schweiz und der EU über die Assoziierung an Schengen und Dublin;Fak.;4836712;2745267;56.75895112;25255;15710;2704302;1477260;1227042
518;05.06.2005;Bundesgesetz über die eingetragene Partnerschaft gleichgeschlechtlicher Paare (Partnerschaftsgesetz, PartG);Fak.;4836712;2739380;56.63723621;36110;15902;2687368;1559848;1127520
519;25.09.2005;Bundesbeschluss über die Ausdehnung des Personenfreizügigkeitsabkommens auf die neuen EU-Staaten und über die Revision der flankierenden Massnahmen;Fak.;4852272;2640930;54.42666858;18569;16535;2605826;1458686;1147140
520;27.11.2005;Volksinitiative «für Lebensmittel aus gentechnikfreier Landwirtschaft»;I.;4859437;2056706;42.32395646;23046;11343;2022317;1125835;896482
521;27.11.2005;Arbeitsgesetz (Ladenöffnungszeiten in Zentren des öffentlichen Verkehrs);Fak.;4859437;2060082;42.39342953;18281;11068;2030733;1026833;1003900
522;21.05.2006;Bundesbeschluss über die Neuordnung der Verfassungsbestimmungen zur Bildung;Obl.;4877742;1359250;27.86637752;21941;8193;1329116;1137450;191666
523;24.09.2006;Volksinitiative «Nationalbankgewinne für die AHV»;I.;4893738;2392149;48.88183634;43402;15402;2333345;973831;1359514
524;24.09.2006;Bundesgesetz über die Ausländerinnen und Ausländer;Fak.;4893738;2400100;49.04430928;27528;15319;2357253;1602134;755119
525;24.09.2006;Änderung des Asylgesetzes;Fak.;4893738;2400407;49.0505826;26028;15193;2359186;1598552;760634
526;26.11.2006;Bundesgesetz über die Zusammenarbeit mit den Staaten Osteuropas;Fak.;4902608;2211880;45.11639519;28926;14270;2168684;1158494;1010190
527;26.11.2006;Bundesgesetz über die Familienzulagen;Fak.;4902608;2213091;45.14109633;20850;14030;2178211;1480796;697415
528;11.03.2007;Volksinitiative «Für eine soziale Einheitskrankenkasse»;I.;4914448;2264742;46.08334446;16993;15619;2232130;641917;1590213
529;17.06.2007;Bundesgesetz über die Invalidenversicherung;Fak.;4929139;1789115;36.29670415;19618;10587;1758910;1039282;719628
530;24.02.2008;Volksinitiative «Gegen Kampfjetlärm in Tourismusgebieten»;I.;4957778;1925291;38.8337477;31490;10624;1883177;601070;1282107
531;24.02.2008;Bundesgesetz über die Verbesserung der steuerlichen Rahmenbedingungen für unternehmerische Tätigkeiten und Investitionen;Fak.;4957778;1919323;38.71337119;50745;10846;1857732;938742;918990
532;01.06.2008;Volksinitiative «Für demokratische Einbürgerungen»;I.;4969834;2251493;45.30318316;18803;12718;2219972;804728;1415244
533;01.06.2008;Volksinitiative «Volkssouveränität statt Behördenpropaganda»;I.;4969834;2235043;44.97218619;49202;12724;2173117;538926;1634191
534;01.06.2008;Verfassungsartikel «Für Qualität und Wirtschaftlichkeit in der Krankenversicherung»;Obl.;4969834;2233018;44.93144037;53247;12764;2167007;661310;1505697
535;30.11.2008;Volksinitiative «für die Unverjährbarkeit pornografischer Straftaten an Kindern»;I.;4993100;2379892;47.66361579;40912;13538;2325442;1206323;1119119
536;30.11.2008;Volksinitiative «für ein flexibles AHV-Alter»;I.;4993100;2385811;47.78215938;27686;13306;2344819;970221;1374598
537;30.11.2008;Volksinitiative «Verbandsbeschwerderecht: Schluss mit der Verhinderungspolitik - Mehr Wachstum für die Schweiz!»;I.;4993100;2364691;47.35917566;75453;14005;2275233;773467;1501766
538;30.11.2008;Volksinitiative «für eine vernünftige Hanf-Politik mit wirksamem Jugendschutz»;I.;4993100;2370946;47.48444854;52198;13863;2304885;846985;1457900
539;30.11.2008;Bundesgesetz über die Betäubungsmittel und psychotropen Stoffe;Fak.;4993100;2360873;47.28271014;82003;13950;2264920;1541928;722992
540;08.02.2009;Bundesbeschluss über die Genehmigung der Weiterführung des Freizügigkeitsabkommens zwischen der Schweiz und der Europäischen Gemeinschaft sowie über die Genehmigung des Protokolls über die Ausdehnung des Abkommens auf Bulgarien und Rumänien;Fak.;4999664;2578848;51.5804262;18897;14920;2545031;1517132;1027899
541;17.05.2009;Verfassungsartikel «Zukunft mit Komplementärmedizin» (Gegenentwurf zur Volksinitiative «Ja zur Komplementärmedizin»);Obl.;5011176;1948829;38.88965385;23413;9963;1915453;1283893;631560
542;17.05.2009;Bundesbeschluss über die Genehmigung und Umsetzung des Notenaustauschs zwischen der Schweiz und der Europäischen Gemeinschaft betreffend die Übernahme der Verordnung über biometrische Pässe und Reisedokumente;Fak.;5011176;1947434;38.86181607;36473;10296;1900665;953173;947492
543;27.09.2009;Bundesbeschluss über eine befristete Zusatzfinanzierung der Invalidenversicherung durch Anhebung der Mehrwertsteuersätze;Obl.;5030938;2067328;41.0922973;17630;10150;2039548;1112818;926730
544;27.09.2009;Bundesbeschluss über den Verzicht auf die Einführung der allgemeinen Volksinitiative;Obl.;5030938;2038169;40.5127036;100726;11542;1925901;1307237;618664
545;29.11.2009;Bundesbeschluss zur Schaffung einer Spezialfinanzierung für Aufgaben im Luftverkehr;Obl.;5039710;2659424;52.76938554;163305;19324;2476795;1609682;867113
546;29.11.2009;Volksinitiative «Für ein Verbot von Kriegsmaterial-Exporten»;I.;5039710;2697978;53.53438988;45910;16780;2635288;837156;1798132
547;29.11.2009;Volksinitiative «Gegen den Bau von Minaretten»;I.;5039710;2716938;53.910602;30519;16969;2669450;1535010;1134440
359;01.04.1990;Volksinitiative 'Stopp dem Beton - für eine Begrenzung des Strassenbaus!';I.;4327120;1779499;41.1243275;21580;2107;1755812;500615;1255197
360;01.04.1990;Volksinitiative 'für eine autobahnfreie Landschaft zwischen Murten und Yverdon';I.;4327120;1778172;41.09366045;28920;2248;1747004;571648;1175356
361;01.04.1990;Volksinitiative 'für ein autobahnfreies Knonauer Amt';I.;4327120;1779697;41.12890329;32026;2611;1745060;547359;1197701
362;01.04.1990;Volksinitiative 'für eine freie Aarelandschaft zwischen Biel und Solothurn/Zuchwil';I.;4327120;1776633;41.05809407;34604;2333;1739696;592237;1147459
363;01.04.1990;Bundesbeschluss über den Rebbau;Fak.;4327120;1766240;40.81791122;109745;3679;1652816;771207;881609
364;01.04.1990;Bundesgesetz über die Organisation der Bundesrechtspflege, Änderung vom 23. Juni 1989;Fak.;4327120;1762581;40.73335151;120437;3721;1638423;775885;862538
365;23.09.1990;Volksinitiative 'für den Ausstieg aus der Atomenergie';I.;4345490;1756278;40.41610958;21690;2539;1732049;816300;915749
366;23.09.1990;Volksinitiative 'Stopp dem Atomkraftwerkbau (Moratorium)';I.;4345490;1757127;40.43564707;19375;2446;1735306;946087;789219
367;23.09.1990;Bundesbeschluss über den Energieartikel in der Bundesverfassung;Obl.;4345490;1752962;40.33980057;41246;2930;1708786;1214940;493846
368;23.09.1990;Bundesgesetz über den Strassenverkehr, Änderung vom 6. Oktober 1989;Fak.;4345490;1751210;40.29948291;45612;2907;1702691;898958;803733
369;03.03.1991;Bundesbeschluss über die Herabsetzung des Stimm- und Wahlrechtsalters auf 18 Jahre;Obl.;4350879;1361213;31.28593096;9794;2347;1349072;981425;367647
370;03.03.1991;Volksinitiative 'zur Förderung des öffentlichen Verkehrs';I.;4350879;1359014;31.23538945;19406;2514;1337094;496600;840494
371;02.06.1991;Bundesbeschluss über die Neuordnung der Bundesfinanzen;Obl.;4499041;1496841;33.27170265;39055;2480;1455306;664318;790988
372;02.06.1991;Militärstrafgesetz (MStG), Änderung vom 5. Oktober 1990;Fak.;4499041;1499196;33.32404946;28614;2466;1468116;817458;650658
